"Andrews, Mark",TE,2020,6,"$6,500.00",12.7,2,3
"Shenault Jr., Laviska",WR,2020,6,"$5,200.00",10.2,2,29
"Miller, Scotty",WR,2020,6,"$4,200.00",8.2,2,40
"Gage, Russell",WR,2020,6,"$4,800.00",9.3,1.9,32
"Jefferson, Justin",WR,2020,6,"$6,000.00",11.5,1.9,21
"Newton, Cam",QB,2020,6,"$6,500.00",12.5,1.9,18
"Beckham Jr., Odell",WR,2020,6,"$6,400.00",12.1,1.9,18
"Samuel, Curtis",WR,2020,6,"$4,300.00",8.1,1.9,41
"Anderson, Robby",WR,2020,6,"$6,300.00",11.7,1.9,20
"Brown, A.J.",WR,2020,6,"$5,600.00",10.4,1.9,26
"Gaskin, Myles",RB,2020,6,"$5,400.00",10,1.9,35
"Wentz, Carson",QB,2020,6,"$5,600.00",10.4,1.9,22
"Tate, Golden",WR,2020,6,"$4,600.00",8.5,1.9,38
"Hurst, Hayden",TE,2020,6,"$4,700.00",8.7,1.9,10
"Fitzpatrick, Ryan",QB,2020,6,"$5,900.00",10.9,1.9,21
"Ward, Greg",WR,2020,6,"$4,100.00",7.5,1.8,47
"Brown, Marquise",WR,2020,6,"$6,500.00",11.9,1.8,19
"Allen, Kyle",QB,2020,6,"$5,100.00",9.4,1.8,25
"Singletary, Devin",RB,2020,6,"$8,000.00",14.6,1.8,16
"Samuel, Deebo",WR,2020,6,"$5,100.00",9.2,1.8,33
"Green, A.J.",WR,2020,6,"$3,900.00",7,1.8,52
"Sample, Drew",TE,2020,6,"$3,400.00",6.1,1.8,17
"Bernard, Giovani",RB,2020,6,"$4,000.00",7.2,1.8,49
"Mayfield, Baker",QB,2020,6,"$5,700.00",10.2,1.8,23
"Cobb, Randall",WR,2020,6,"$4,400.00",7.8,1.8,45
"Bell, Le'Veon",RB,2020,6,"$5,300.00",9.3,1.8,40
"White, James",RB,2020,6,"$4,800.00",8.4,1.8,44
"Hooper, Austin",TE,2020,6,"$3,900.00",6.8,1.8,14
"Higbee, Tyler",TE,2020,6,"$5,100.00",8.9,1.7,9
"Claypool, Chase",WR,2020,6,"$5,200.00",9,1.7,34
"Aiyuk, Brandon",WR,2020,6,"$5,000.00",8.6,1.7,36
"Brown, John",WR,2020,6,"$5,800.00",9.9,1.7,30
"Cooks, Brandin",WR,2020,6,"$5,000.00",8.6,1.7,37
"Miller, Anthony",WR,2020,6,"$4,300.00",7.3,1.7,49
"Lindsay, Phillip",RB,2020,6,"$4,300.00",7.3,1.7,48
"Gallman Jr., Wayne",RB,2020,6,"$4,000.00",6.8,1.7,51
"Jones, Aaron",RB,2020,6,"$7,600.00",12.8,1.7,22
"Swift, D'Andre",RB,2020,6,"$4,500.00",7.6,1.7,47
"Patterson, Cordarrelle",WR,2020,6,"$3,200.00",5.4,1.7,69
"Lewis, Dion",RB,2020,6,"$4,000.00",6.7,1.7,52
"Rypien, Brett",QB,2020,6,"$5,200.00",8.7,1.7,27
"Doyle, Jack",TE,2020,6,"$2,700.00",4.5,1.7,28
"Peterson, Adrian",RB,2020,6,"$4,700.00",7.8,1.7,46
"Stills, Kenny",WR,2020,6,"$3,400.00",5.6,1.6,67
"Hightower, John",WR,2020,6,"$3,000.00",4.9,1.6,74
"Graham, Jimmy",TE,2020,6,"$5,000.00",8.2,1.6,11
"Everett, Gerald",TE,2020,6,"$2,900.00",4.7,1.6,26
"Rivers, Philip",QB,2020,6,"$5,900.00",9.6,1.6,24
"Garoppolo, Jimmy",QB,2020,6,"$5,500.00",8.8,1.6,26
"Boykin, Miles",WR,2020,6,"$3,800.00",6,1.6,62
"Conley, Chris",WR,2020,6,"$3,600.00",5.7,1.6,66
"Burton, Trey",TE,2020,6,"$3,100.00",4.9,1.6,25
"Bourne, Kendrick",WR,2020,6,"$4,300.00",6.7,1.6,57
"Eifert, Tyler",TE,2020,6,"$3,400.00",5.3,1.6,24
"Gore, Frank",RB,2020,6,"$4,000.00",6.2,1.6,55
"Lock, Drew",QB,2020,6,"$5,400.00",8.4,1.6,28
"Flacco, Joe",QB,2020,6,"$5,100.00",7.9,1.5,29
"Inman, Dontrelle",WR,2020,6,"$3,600.00",5.5,1.5,68
"Allen, Josh",QB,2020,6,"$13,000.00",19.8,1.5,2
"Jefferson Jr., Van",WR,2020,6,"$3,000.00",4.5,1.5,79
"Wilkins, Jordan",RB,2020,6,"$4,000.00",5.9,1.5,56
"Snead IV, Willie",WR,2020,6,"$3,500.00",5.1,1.5,72
"Pascal, Zach",WR,2020,6,"$4,700.00",6.9,1.5,54
"Washington, James",WR,2020,6,"$4,200.00",6.1,1.5,61
"Kroft, Tyler",TE,2020,6,"$2,000.00",2.9,1.5,39
"Diggs, Stefon",WR,2020,6,"$10,600.00",15.4,1.5,5
"Cole, Keelan",WR,2020,6,"$4,900.00",7.1,1.5,51
"Gronkowski, Rob",TE,2020,6,"$4,400.00",6.4,1.5,16
"Herndon, Chris",TE,2020,6,"$3,200.00",4.6,1.5,27
"Rudolph, Kyle",TE,2020,6,"$3,700.00",5.3,1.4,23
"Boone, Mike",RB,2020,6,"$4,000.00",5.8,1.4,57
"Duvernay, Devin",WR,2020,6,"$3,000.00",4.3,1.4,82
"Fells, Darren",TE,2020,6,"$3,800.00",5.4,1.4,22
